19,15,15,17,18,18,16,17,7,6,18,13,135,0
16,13,13,15,16,15,15,15,6,6,18,19,118,0
18,15,15,18,18,15,15,18,6,6,18,18,132,0
18,20,20,20,21,20,20,22,8,8,17,19,161,0
15,20,20,21,20,20,20,22,8,8,17,19,158,0
13,13,13,18,15,11,11,14,5,5,17,7,108,0
21,15,15,23,17,20,20,19,7,7,8,20,150,0
13,10,14,17,16,13,10,14,5,5,17,6,107,0
13,15,15,13,12,10,14,14,5,6,16,11,106,0
17,11,10,17,19,15,15,19,5,5,18,6,123,0
17,15,15,18,22,15,15,18,6,6,18,9,135,0
21,20,19,21,19,15,15,17,7,6,19,7,147,0
12,10,10,13,15,13,13,14,5,5,18,16,100,0
15,10,13,16,17,11,11,15,4,5,18,8,108,0
15,10,13,16,17,11,11,15,4,5,18,8,108,0
12,10,10,12,14,14,15,14,5,5,16,18,101,0
14,10,10,14,17,12,15,17,4,5,17,17,109,0
15,15,15,16,16,15,15,16,6,6,17,19,123,0
12,10,10,11,9,5,8,9,3,3,18,10,74,0
12,10,10,14,14,10,10,14,4,4,17,20,94,0
15,14,15,16,17,15,11,15,6,5,18,6,118,0
18,15,15,16,12,10,10,14,5,5,17,8,110,0
14,11,15,15,12,10,14,17,5,6,17,6,108,0
16,13,15,16,18,15,15,17,5,6,18,20,125,0
16,15,15,14,16,10,10,16,5,5,16,8,112,0
15,15,12,16,14,10,10,13,5,4,17,18,105,0
16,14,15,15,15,15,14,15,6,6,17,17,119,0
16,10,10,15,14,15,15,15,5,5,18,18,110,0
14,10,10,14,16,10,10,10,4,4,18,18,94,0
20,17,15,15,18,15,15,15,6,6,17,6,130,0
11,10,10,11,11,10,10,9,4,4,16,17,82,0
18,15,15,22,16,15,18,14,6,7,7,11,133,0
10,10,10,12,13,6,10,13,3,4,18,5,84,0
12,9,10,12,12,10,10,11,4,4,16,4,86,0
16,15,13,20,19,15,15,20,6,5,18,7,133,0
18,15,15,17,18,13,10,15,6,5,18,12,121,0
14,15,15,16,14,15,15,17,6,6,17,5,121,0
16,20,18,16,18,15,15,18,7,6,16,19,136,0
14,15,15,15,16,11,10,18,5,5,16,5,114,0
